,SITE,SPP,GRSTRAT,WOODY,GFNARROWarft,GFNARROWwalker,GENUS,SPECIES,SpeciesGenus,RAUNKIAERS,SORENSENS,GEODISTR
1,SADVENT,ALOBOR,GUER,HERB,GRAMINOID,GRASS,Alopecurus,borealis,Alopecurus borealis,HE,NA,NA
2,SADVENT,ANTJUR,,,LIVER,LIVERLE,Anthelia,juratzkana,Anthelia juratzkana,,NA,NA
3,SADVENT,AULPAL,,,MOSS,MPLEU,Aulacomnium,palustre,Aulacomnium palustre,,NA,NA
4,SADVENT,AULTUR,,,MOSS,MPLEU,Aulacomnium,turgidum,Aulacomnium turgidum,,NA,NA
5,SADVENT,BISVIV,GUER,HERB,FORBSV,FORB,Bistorta,vivipara,Bistorta vivipara,HE,NA,NA
6,SADVENT,XXXBRYRED,,,MOSS,MACRO,Bryum,,Bryum ,,NA,NA
7,SADVENT,CALRIC,,,MOSS,MPLEU,Calliergon,richardsonii,Calliergon richardsonii,,NA,NA
8,SADVENT,CALSTR,GUER,HERB,GRAMINOID,GRASS,Calamagrostis,stricta,Calamagrostis stricta,HE,NA,NA
9,SADVENT,CARNYM,RAMBO,HERB,FORBSV,FORB,Cardamine,nymanii,Cardamine nymanii,HE,NA,NA
10,SADVENT,CARSUB,PHAL,HERB,GRAMINOID,SEDGE,Carex,subspathacea,Carex subspathacea,HE,NA,NA
11,SADVENT,CERARC,RAMBO,HERB,FORBSV,FORB,Cerastium,arcticum,Cerastium arcticum,HE,NA,NA
12,SADVENT,CERREG,RAMBO,HERB,FORBSV,FORB,Cerastium,regelii,Cerastium regelii,HE,NA,NA
13,SADVENT,CETISL,,,LICHEN,LFRUT,Cetraria,islandica,Cetraria islandica,,NA,NA
14,SADVENT,COCOFF,RAMBO,HERB,FORBSV,FORB,Cochlearia,officinalis,Cochlearia officinalis,HE,NA,NA
15,SADVENT,DREREV,,,MOSS,MPLEU,Drepanocladus,revolvens,Drepanocladus revolvens,,NA,NA
16,SADVENT,DRYOCT,PHAL,WOODY,ESHRUB,SEVER,Dryas,octopetala,Dryas octopetala,CH,NA,NA
17,SADVENT,DUPFIS,PHAL,HERB,GRAMINOID,GRASS,Dupontia,fisheri,Dupontia fisheri,HE,NA,NA
18,SADVENT,EQUARV,PHAL,HERB,FORBSV,SLVASC,Equisetum,arvense,Equisetum arvense,CR,NA,NA
19,SADVENT,ERISCH,PHAL,HERB,GRAMINOID,SEDGE,Eriophorum,scheuchzeri,Eriophorum scheuchzeri,HE,NA,NA
20,SADVENT,FRLICH4,,,LICHEN,LFRUT,Cladonia,,Cladonia ,,NA,NA
21,SADVENT,HYLSPL,,,MOSS,MPLEU,Hylocomium,splendens,Hylocomium splendens,,NA,NA
22,SADVENT,JUNBIG,GUER,HERB,GRAMINOID,RUSH,Juncus,biglumis,Juncus biglumis,HE,NA,NA
