domainID,siteID,visitNumber,flightDate,d,m,y,date,doy
D13,NIWO,1,2017090615,6,9,2017,06/09/2017,249
D13,NIWO,1,2017090415,4,9,2017,04/09/2017,247
D13,NIWO,1,2017092118,21,9,2017,21/09/2017,264
D13,NIWO,2,2018081014,10,8,2018,10/08/2018,222
D13,NIWO,2,2018073115,31,7,2018,31/07/2018,212
D13,NIWO,2,2018081114,11,8,2018,11/08/2018,223
D13,NIWO,2,2018081315,13,8,2018,13/08/2018,225
D13,NIWO,3,2019081515,15,8,2019,15/08/2019,227
D13,NIWO,3,2019082615,26,8,2019,26/08/2019,238
D13,NIWO,3,2019081416,14,8,2019,14/08/2019,226
D13,NIWO,3,2019081915,19,8,2019,19/08/2019,231
D13,NIWO,4,2020080714,7,8,2020,07/08/2020,220
D13,NIWO,4,2020072014,20,7,2020,20/07/2020,202
D13,NIWO,4,2020073114,31,7,2020,31/07/2020,213
D13,NIWO,4,2020080114,1,8,2020,01/08/2020,214
