,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,23,24,PTQUAD10A,449865.043,4433960.44,40.0543985,-105.5878025,Saddle Pt Quad 10A,Marilyn Walker,observational plot,3539.433,,Point quadrat measurements at the saddle are made yearly
1,141,142,PTQUAD20A,449876.403,4434002.945,40.0547821,-105.5876726,Saddle Pt Quad 20A,Marilyn Walker,observational plot,3544.369,,Point quadrat measurements at the saddle are made yearly
1,142,143,PTQUAD30A,449883.868,4434062.163,40.055316,-105.5875896,Saddle Pt Quad 30A,Marilyn Walker,observational plot,3543.099,,Point quadrat measurements at the saddle are made yearly
1,143,144,PTQUAD40A,449903.4,4434101.735,40.0556737,-105.5873637,Saddle Pt Quad 40A,Marilyn Walker,observational plot,3540.388,,Point quadrat measurements at the saddle are made yearly
1,144,145,PTQUAD50A,449909.654,4434149.074,40.0561006,-105.587294,Saddle Pt Quad 50A,Marilyn Walker,observational plot,3536.414,,Point quadrat measurements at the saddle are made yearly
1,145,146,PTQUAD60A,449928.136,4434202.162,40.0565799,-105.5870815,Saddle Pt Quad 60A,Marilyn Walker,observational plot,3534.113,,Point quadrat measurements at the saddle are made yearly
1,146,147,PTQUAD70A,449940.826,4434250.699,40.057018,-105.5869364,Saddle Pt Quad 70A,Marilyn Walker,observational plot,3529.63,,Point quadrat measurements at the saddle are made yearly
1,147,148,PTQUAD80A,449953.772,4434293.177,40.0574014,-105.5867879,Saddle Pt Quad 80A,Marilyn Walker,observational plot,3522.352,,Point quadrat measurements at the saddle are made yearly
1,148,149,PTQUAD80,449906.812,4434309.889,40.0575492,-105.5873398,Saddle Pt Quad 80,Marilyn Walker,observational plot,3514.446,,Point quadrat measurements at the saddle are made yearly
1,149,150,PTQUAD70,449892.607,4434262.513,40.0571216,-105.5875027,Saddle Pt Quad 70,Marilyn Walker,observational plot,3521.854,,Point quadrat measurements at the saddle are made yearly
1,150,151,PTQUAD60,449879.471,4434213.842,40.0566823,-105.5876529,Saddle Pt Quad 60,Marilyn Walker,observational plot,3526.597,,Point quadrat measurements at the saddle are made yearly
1,151,152,PTQUAD50,449867.475,4434162.509,40.0562191,-105.5877896,Saddle Pt Quad 50,Marilyn Walker,observational plot,3530.685,,Point quadrat measurements at the saddle are made yearly
1,152,153,PTQUAD40,449854.851,4434118.666,40.0558234,-105.5879342,Saddle Pt Quad 40,Marilyn Walker,observational plot,3533.429,,Point quadrat measurements at the saddle are made yearly
1,153,154,PTQUAD30,449841.431,4434070.974,40.0553929,-105.5880878,Saddle Pt Quad 30,Marilyn Walker,observational plot,3536.463,,Point quadrat measurements at the saddle are made yearly
1,154,155,PTQUAD20,449829.06,4434022.378,40.0549543,-105.5882291,Saddle Pt Quad 20,Marilyn Walker,observational plot,3538.602,,Point quadrat measurements at the saddle are made yearly
1,155,156,PTQUAD10,449816.502,4433973.837,40.0545163,-105.5883726,Saddle Pt Quad 10,Marilyn Walker,observational plot,3533.715,,Point quadrat measurements at the saddle are made yearly
1,156,157,EP10-1E,449725.341,4434086.781,40.0555284,-105.5894501,EP10-1E,Marilyn Walker,manipulative plot,3530.299,,ITEX exp
1,157,158,EP10-1C,449725.633,4434089.002,40.0555484,-105.5894469,EP10-1C,Marilyn Walker,manipulative plot,3529.483,,ITEX exp
1,158,159,10-1E,449730.737,4434110.968,40.0557466,-105.5893887,10-1E,Marilyn Walker,manipulative plot,3528.918,,ITEX exp
1,159,160,10-1C,449729.405,4434109.565,40.0557339,-105.5894042,10-1C,Marilyn Walker,manipulative plot,3529.491,,ITEX exp
1,160,161,10-2C,449731.761,4434118.882,40.055818,-105.5893773,10-2C,Marilyn Walker,manipulative plot,3529.808,,ITEX exp
1,161,162,10-2E,449733.447,4434120.103,40.0558291,-105.5893577,10-2E,Marilyn Walker,manipulative plot,3529.619,,ITEX exp
1,162,163,10-3E,449734.666,4434126.083,40.055883,-105.5893438,10-3E,Marilyn Walker,manipulative plot,3528.923,,ITEX exp
1,163,164,10-3C,449735.234,4434128.052,40.0559008,-105.5893373,10-3C,Marilyn Walker,manipulative plot,3528.854,,ITEX exp
1,164,165,10-4C,449735.919,4434134.707,40.0559608,-105.5893298,10-4C,Marilyn Walker,manipulative plot,3528.297,,ITEX exp
1,165,166,10-4E,449737.648,4434136.038,40.0559729,-105.5893096,10-4E,Marilyn Walker,manipulative plot,3528.281,,ITEX exp
1,166,167,10-5E,449738.031,4434138.137,40.0559918,-105.5893053,10-5E,Marilyn Walker,manipulative plot,3528.126,,ITEX exp
1,167,168,10-5C,449737.218,4434139.853,40.0560072,-105.589315,10-5C,Marilyn Walker,manipulative plot,3528.071,,ITEX exp
1,168,169,EP10-2E,449748.661,4434183.332,40.0563996,-105.5891842,EP10-2E,Marilyn Walker,manipulative plot,3526.534,,ITEX exp
1,169,170,EP10-2C,449748.546,4434185.234,40.0564167,-105.5891857,EP10-2C,Marilyn Walker,manipulative plot,3526.527,,ITEX exp
1,170,171,EP10-3E,449750.723,4434187.871,40.0564406,-105.5891604,EP10-3E,Marilyn Walker,manipulative plot,3525.998,,ITEX exp
1,171,172,EP10-3C,449751.741,4434189.055,40.0564514,-105.5891485,EP10-3C,Marilyn Walker,manipulative plot,3525.71,,ITEX exp
