FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION,,,,,,,,
0,1,ASP2,455869.364,4430497.679,40.0235369,-105.5171725,ASP2,Tim Seastedt,observational point,2743.513,,,,,,,,,,
1,2,ASP4,455621.208,4430399.483,40.0226392,-105.5200739,ASP4,Tim Seastedt,observational point,2757.078,,,,,,,,,,
2,3,ASP6,455541.671,4430430.532,40.0229148,-105.5210081,ASP6,Tim Seastedt,observational point,2762.473,,,,,,,,,,
3,4,ASP7,454706.613,4431068.917,40.0286218,-105.5308383,ASP7,Tim Seastedt,observational point,2832.249,,,,,,,,,,
4,5,ASP8,454758.584,4431055.981,40.028508,-105.5302283,ASP8,Tim Seastedt,observational point,2828.848,,,,,,,,,,
5,6,ASP9,454679.434,4431112.085,40.0290093,-105.5311598,ASP9,Tim Seastedt,observational point,2836.392,,,,,,,,,,
6,7,ASP10,454674.265,4431032.538,40.0282923,-105.5312149,ASP10,Tim Seastedt,observational point,2829.543,,,,,,,,,,
7,8,ASP11,454641.855,4431030.954,40.0282763,-105.5315946,ASP11,Tim Seastedt,observational point,2832.686,,,,,,,,,,
8,9,ASP12,454707.697,4431134.308,40.029211,-105.5308302,ASP12,Tim Seastedt,observational point,2831.56,,,,,,,,,,
9,10,ASP13,454548.102,4430815.764,40.0263325,-105.5326782,ASP13,Tim Seastedt,observational point,2851.319,,,,,,,,,,
10,11,ASP14,454558.083,4430781.31,40.0260226,-105.5325589,ASP14,Tim Seastedt,observational point,2848.438,,,,,,,,,,
11,12,ASP15,454572.427,4430761.725,40.025847,-105.5323894,ASP15,Tim Seastedt,observational point,2848.35,,,,,,,,,,
12,13,ASP16,454594.349,4430744.367,40.0256918,-105.5321313,ASP16,Tim Seastedt,observational point,2839.534,,,,,,,,,,
13,14,ASP17,454512.686,4430827.271,40.0264343,-105.5330941,ASP17,Tim Seastedt,observational point,2855.28,,,,,,,,,,
14,15,ASP18,454135.276,4431245.405,40.030181,-105.5375466,ASP18,Tim Seastedt,observational point,2900.022,,,,,,,,,,
15,16,ASP19,454097.378,4431220.481,40.0299544,-105.537989,ASP19,Tim Seastedt,observational point,2915.925,,,,,,,,,,
16,17,ASP20,454086.61,4431196.353,40.0297364,-105.5381135,ASP20,Tim Seastedt,observational point,2921.052,,,,,,,,,,
17,18,ASP21,454057.518,4431172.601,40.0295208,-105.5384527,ASP21,Tim Seastedt,observational point,2926.833,,,,,,,,,,
18,19,ASP23,453744.814,4431853.144,40.035635,-105.5421661,ASP23,Tim Seastedt,observational point,3013.026,,,,,,,,,,
19,20,ASP24,453889.168,4431718.485,40.0344297,-105.5404645,ASP24,Tim Seastedt,observational point,3005.782,,,,,,,,,,
20,21,ASP25,453833.402,4431674.441,40.0340298,-105.541115,ASP25,Tim Seastedt,observational point,3006.701,,,,,,,,,,
21,22,ASP26,453831.28,4431597.866,40.0333398,-105.5411344,ASP26,Tim Seastedt,observational point,3003.407,,,,,,,,,,
22,23,ASP27,453882.294,4431557.223,40.0329765,-105.5405336,ASP27,Tim Seastedt,observational point,2990.534,,,,,,,,,,
