"Latin.name","Species","Family","Life.Form","USDA.Code","Rep","Exp","TRT","Code","YearCollected","Lat","Long","SoilMoisture","VegHeight","OHeight","CC1","CC2","CC3","CCAvg","CC.Relative","Stomatal.Conductance","WetWeight","DryWeight","LeafArea","LDMC","LWC","SLA","LMA","D15N","D13C","Percent_N","Percent_C","CN_ratio"
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",1,"MUH","","ANGGRAMUH1","2017",40.05801667,-105.5908333,"ROCK",14.9,34.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",2,"MUH","","ANGGRAMUH2","2017",40.05801667,-105.5908333,"ROCK",NaN,NaN,16.2,20.1,18.9,18.4,0.652881847,NaN,0.468,0.07358,15.571,157.2222222,842.7777778,211.6200054,0.0047,-2.8322,-29.857,2.0601,43.7679,21.2457
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",3,"MUH","","ANGGRAMUH3","2017",40.05801667,-105.59085,"ROCK",14,15.3,28.8,39,34,33.93333333,1.204046594,NaN,0.517,0.08743,17.581,169.1102515,830.8897485,201.0865836,0.005,-1.4163,-28.3276,2.9608,44.9886,15.1949
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",4,"MUH","","ANGGRAMUH4","2017",40.05801667,-105.59085,"ROCK",9,9,43.7,27.1,25.1,31.96666667,1.134263933,NaN,0.33,0.06622,11.046,200.6666667,799.3333333,166.807611,0.006,-1.689,-29.3045,2.3193,44.7187,19.2812
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",5,"MUH","","ANGGRAMUH5","2017",40.05805,-105.59105,"ROCK",19.5,29.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",6,"MUH","","ANGGRAMUH6","2017",40.05805,-105.59105,"ROCK",NaN,NaN,24.9,25.6,22.2,24.23333333,0.859864316,NaN,0.268,0.04936,10.501,184.1791045,815.8208955,212.7431118,0.0047,-1.7223,-29.3827,2.2115,42.375,19.1613
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",7,"MUH","","ANGGRAMUH7","2017",40.05798333,-105.5911,"ROCK",30,35,6.6,27.9,23.8,19.43333333,0.689547313,NaN,0.72,0.14522,23.666,201.6944444,798.3055556,162.9665335,0.0061,0.2187,-29.6539,2.3875,42.4945,17.7986
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",8,"MUH","","ANGGRAMUH8","2017",40.0581,-105.5911333,"ROCK",28.4,37.2,41.8,40,28.1,36.63333333,1.299849909,NaN,0.128,0.02194,5.851,171.40625,828.59375,266.6818596,0.0037,-0.2034,-31.2675,2.3287,43.5207,18.6892
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",9,"MUH","","ANGGRAMUH9","2017",40.05806667,-105.5911833,"ROCK",19,27.8,26.5,25.5,35.6,29.2,1.036095105,NaN,0.387,0.05936,16.632,153.3850129,846.6149871,280.1886792,0.0036,-1.4971,-30.6663,2.0664,42.1145,20.3804
"Angelica grayi","ANGGRA","Apiaceae","Forb","ANGR3",10,"MUH","","ANGGRAMUH10","2017",40.05806667,-105.5912167,"ROCK",28,32.7,20.3,24.8,25.3,23.46666667,0.832660906,NaN,0.703,0.11868,31.395,168.8193457,831.1806543,264.5348837,0.0038,-2.2747,-30.581,2.4814,42.8989,17.2882
